"uf";"Vacinas distribuidas - influenza";"Vacinas aplicadas - influenza ";"Mascara cirúrgica";"Mascara N95";"Alcool em gel - L";"Avental";"Teste rápido";"Luvas";"Óculos e protetor facial";"Touca e sapatilha";"Cloroquina - comprimidos";"Oseltamivir - cápsulas";"Teste PCR";"Leitos locados";"Leitos UTI adulto";"Respiradores distribuidos";"UTI adulto SUS";"Uti adulto não SUS";"Leitos UTI habilitados";"Mais Médicos"
"AC";"329060";"150113";"153400";"12500";"2435.27";"13533";"25300";"109700";"2890";"66400";"97000";"40510";"69724";"10";"58";"30";"43";"15";"30";"153"
"AL";"1332300";"844530";"493400";"43750";"7465.90";"40665";"107420";"364348";"8140";"223800";"412000";"64000";"84004";"10";"426";"30";"315";"111";"154";"201"
"AM";"1407360";"653569";"763500";"105700";"20109.77";"129383";"162060";"456748";"17015";"381400";"371000";"267060";"90616";"10";"450";"178";"356";"94";"194";"423"
"AP";"253700";"181392";"157900";"11900";"2159.28";"12739";"22680";"268800";"3120";"65100";"110500";"8270";"83780";"10";"78";"85";"44";"34";"32";"109"
"BA";"5326500";"3323432";"2323700";"202550";"33499.45";"192909";"509020";"1666496";"39940";"1011900";"41000";"176670";"108592";"40";"1573";"60";"869";"704";"265";"1482"
"CE";"3479600";"2180569";"1362600";"110750";"20239.55";"106779";"354400";"1014096";"22000";"610500";"302000";"372630";"112632";"20";"1002";"75";"630";"372";"402";"1195"
"DF";"1054340";"858100";"790200";"80250";"15757.29";"60615";"149920";"477100";"11835";"235200";"72000";"54960";"113548";"10";"997";"0";"261";"736";"185";"88"
"ES";"1375400";"1113284";"628200";"58400";"9841.67";"53765";"135760";"450248";"11140";"277900";"78000";"116900";"90488";"10";"804";"70";"406";"398";"165";"377"
"GO";"2445600";"1730258";"1053100";"87450";"14404.51";"85958";"225700";"722896";"17880";"470000";"29000";"50150";"87088";"20";"1200";"25";"675";"525";"159";"609"
"MA";"2463000";"1607801";"1110600";"94850";"15508.59";"87722";"222360";"744396";"19530";"476400";"278000";"43570";"86212";"20";"682";"45";"413";"269";"238";"674"
"MD";"";"";"250500";"31500";"1393.00";"15775";"0";"98896";"120";"106000";"";"";"";"";"";"";"";"";"";""
"MG";"8819200";"6329814";"3550600";"329750";"55929.02";"299964";"783960";"2412684";"61210";"1462000";"85000";"609870";"160552";"50";"3151";"0";"2068";"1083";"75";"1178"
"MJ";"";"";"1323850";"89150";"22417.00";"42635";"0";"2073496";"120";"31300";"";"";"";"";"";"";"";"";"";""
"MS";"1042430";"751216";"476400";"46850";"8035.69";"43217";"96140";"335648";"9180";"198200";"15000";"145740";"95632";"10";"432";"0";"269";"163";"167";"191"
"MT";"1177200";"693011";"535900";"46200";"7719.90";"43858";"110620";"422148";"10860";"238700";"16000";"67190";"74208";"10";"591";"0";"208";"383";"273";"223"
"PA";"2705700";"1260835";"1198500";"115200";"15675.81";"132932";"265280";"869196";"21760";"603900";"439000";"98680";"165676";"20";"661";"364";"400";"261";"336";"751"
"PB";"1594800";"1086704";"642450";"57700";"9675.17";"55826";"147180";"442748";"12100";"277400";"75000";"42500";"84748";"10";"536";"130";"372";"164";"145";"335"
"PE";"3509000";"2293215";"1458500";"127350";"21367.11";"121139";"320120";"1025544";"24660";"650400";"223000";"74200";"118720";"20";"1647";"95";"1026";"621";"360";"866"
"PI";"1323200";"812346";"525900";"47050";"7864.90";"44577";"118780";"363448";"9780";"238600";"30000";"77410";"78756";"10";"293";"20";"206";"87";"261";"326"
"PR";"4357600";"3039495";"1792600";"164650";"28308.41";"147075";"407980";"1273792";"28340";"786100";"62000";"1148150";"151408";"30";"2444";"20";"1656";"788";"473";"737"
"RJ";"6546100";"4241114";"2299700";"268600";"40012.06";"145080";"620560";"12139436";"30800";"1121800";"224000";"292500";"388248";"40";"4008";"567";"1247";"2761";"540";"558"
"RN";"1424400";"953500";"583500";"50200";"8435.39";"48351";"123360";"387948";"10440";"240100";"136000";"61600";"90888";"10";"526";"80";"306";"220";"156";"258"
"RO";"566810";"320520";"282800";"25700";"4370.25";"25249";"55160";"216900";"5430";"125000";"71000";"77020";"80296";"10";"285";"65";"213";"72";"61";"308"
"RR";"231000";"93577";"117900";"10400";"1800.28";"9389";"16520";"73200";"2310";"40000";"100000";"44280";"83824";"0";"25";"75";"17";"8";"0";"140"
"RS";"5130200";"3572299";"2034350";"185800";"33509.75";"154634";"493680";"1483292";"29060";"793800";"49000";"1170140";"106944";"30";"1660";"0";"1015";"645";"310";"864"
"SC";"2706200";"1877500";"1123400";"103100";"18153.05";"92304";"253740";"812096";"17650";"493700";"47000";"1236460";"103920";"20";"1064";"17";"760";"304";"372";"350"
"SE";"799660";"527107";"372300";"32600";"5788.42";"30589";"75980";"270200";"6280";"158700";"14500";"31620";"102608";"10";"295";"70";"200";"95";"54";"180"
"SP";"17763820";"12887760";"7376350";"660550";"117083.38";"629337";"1660420";"5669240";"117000";"3139700";"986000";"2097100";"290272";"80";"9269";"460";"4480";"4789";"2064";"1792"
"TO";"544120";"351313";"301600";"31460";"5060.63";"28498";"56420";"195500";"6480";"116200";"11000";"19000";"73304";"10";"161";"20";"109";"52";"42";"133"